QUESTION,Grade ,Subject ,CHOICE 1 (Correct),CHOICE 2,CHOICE 3,CHOICE 4,LEARNING TIP,
Write the 5 digit number using these decimals: 50 + 5 + 0.02 + 0.06 + 0.006 =? ,5,Math,55.266,552.66,5526.6,555.266,Use a place value chart and think about the ones - tens - hundreds - thousands in each spot as well as the tenths -hundreths - thousandths ,
Write the 5 digit number using these decimals: 100 + 40 + 3 + 0.4 + 0.02,5,Math,143.42,104.32,140.32,140.42,Use a place value chart and think about the ones - tens - hundreds - thousands in each spot as well as the tenths -hundreths - thousandths ,
Write the 5 digit number using these decimals: 50 + 0.8 + 0.03 + 0.007,5,Math,50. 837,55.837,58.837,50.37,Use a place value chart and think about the ones - tens - hundreds - thousands in each spot as well as the tenths -hundreths - thousandths ,
Write the 5 digit number using these decimals: 6000 + 500 + 90 + 2 + 0.07,5,Math,6592.7,659.27,65.927,6.5927,Use a place value chart and think about the ones - tens - hundreds - thousands in each spot as well as the tenths -hundreths - thousandths ,
Round to the nearest 10: 5932,5,Math,5930,5920,5940,5950,When assessing a number to be rounded consider if the ones digit is closer to the tens digit in the original number or if the ones digit is closer to the next tens number (rounded up). You can do this by checking if the ones digit is 5 or larger. ,
Round to the nearest 10: 8957,5,Math,8960,8950,8940,8980,When assessing a number to be rounded consider if the ones digit is closer to the tens digit in the original number or if the ones digit is closer to the next tens number (rounded up). You can do this by checking if the ones digit is 5 or larger. ,
Round to the nearest 10: 7898,5,Math,7900,7980,7870,7910,When assessing a number to be rounded consider if the ones digit is closer to the tens digit in the original number or if the ones digit is closer to the next tens number (rounded up). You can do this by checking if the ones digit is 5 or larger. ,
Round to the nearest 10: 109,5,Math,110,120,190,100,When assessing a number to be rounded consider if the ones digit is closer to the tens digit in the original number or if the ones digit is closer to the next tens number (rounded up). You can do this by checking if the ones digit is 5 or larger. ,
There are about 795 families in this region with an average of 6 people per family. This means there are about _____ people living in the region.,5,Math,4800,4900,4000,5000,Multiply the number of families by the number of people to get the right answer.,
There are 1349 soccer fans in the stadium. An average of two drinks are sold per person with each store only selling 220 drinks. What is the minimum number of stores needed?,5,Math,13,22,27,15,Multiply the number of soccer fans by the number of drinks per person. Divide this new total by the 220 to get the answer!,
The population of University of Toronto is 67 721 students and Ryerson University has 52 103 students. What is the difference in the population?,5,Math,16 000,17 000,18 000,19 000,Subtract the smaller number from the larger number for the difference. ,
In 2016 a farmer had 91 274 bees and it increased by 6015 bees in 2017. How big was the population in 2017?,5,Math,97 300,91 276,95 000,17 000,Add the new number of bees to the old population to get the new population total.,
There are 26 358 students at York University and half of them take the bus to school. Approximately how many students travel by bus?,5,Math,13 000,15 000,14 500,16 000,Divide the total number of students by two to get your approximate number. ,
An airport has 11 gates and each gate has about 125 passengers flying first class every day. There are about ____ passengers flying first class every day.,5,Math,1400,136,1350,,Multiply the number of gates by the number of passengers for the answer and round the number.,
276 031 students take the TTC every day and the buses operate 12 hours per day. There are about ____ passengers per hour.,5,Math,23 000,24 837,12 728,18 378,Divide the number of students by the number of hours and round the number. ,
There are about 418 subway delays per year with the average delay at 5.8 minutes. The total delay is about _____ minutes in a year. ,5,Math,2400,2378,2759,2500,Multiply the number of delays by the number of minutes for the answer and round the number.,
In 2018: 58 333 students received acceptance letters to Ryerson University. In 2019: ______ students received letters which is 2614 more than in 2018.,5,Math,61 000,62 000,63 000,60 000,Add the number of new acceptances to the number of 2018 acceptance letters to figure out how many students were accepted in 2019.,
A chain restaurant created 83 restaurants across Canada. They had about 24 742 visitors. Approximately many visitors did each store serve?,5,Math,300,24 653,400,24 659,Divide the number of customers by the number of students and round the number. ,
Every week the local government plants 2492 plants to a nature reserve. How many plants are planted in a year?,5,Math,130 000,25 000,140 000,2590,Multiply the number of plants by the number of weeks in one year.,
The number of peregrin falcons in the region was estimated to be 42 198 in 2019. The following year there were 38 412. By how much has the population decreased?,5,Math,3 800,3 900,4 000,3 500,Subtract the smaller number from the larger number for the difference. ,
Add these decimals: 2.7 + 4.8 = ?,5,Math,7.5,7.6,7.7,8.5,Add the numbers after the decimal first. If the number exceeds 9 you must add the tens digit to the numbers before the decimal. Now you may add the whole numbers before the decimal.,
Add these decimals: 9.6 + 9.7 = ?,5,Math,19.3,19.6,19.5,19.4,Add the numbers after the decimal first. If the number exceeds 9 you must add the tens digit to the numbers before the decimal. Now you may add the whole numbers before the decimal.,
Add these decimals: 7.8 + 2.6 = ?,5,Math,10.4,10.3,10.2,10.5,Add the numbers after the decimal first. If the number exceeds 9 you must add the tens digit to the numbers before the decimal. Now you may add the whole numbers before the decimal.,
Add these decimals: 4.0 + 4.8 = ?,5,Math,8.8,9.8,9.9,10.5,Add the numbers after the decimal first. If the number exceeds 9 you must add the tens digit to the numbers before the decimal. Now you may add the whole numbers before the decimal.,
Sally had $98.69 in her savings and her mom have her $27.71. How much is in her savings account now?,5,Math,$126.40,$59.04,$11.03,$16.50,Add the two decimal amounts. ,
Ben had $31.80 in his wallet and paid $20.77 for his meal. How much was his change?,5,Math,$11.03,$126.40,$59.04,$126.40,Subtract the smaller number from the larger number for the difference. ,
Joe gave the cashier $47.29 for his bill and his products only cost $30.79. How much change did he get back?,5,Math,$16.50,$59.04,$126.40,$11.03,Subtract the smaller number from the larger number for the difference. ,
Anne had $6.56 left in her purse after school. She added it to her piggy bank which already had $52.48. How much has Anne collected now?,5,Math,$59.04,$16.50,$11.03,$126.40,Add the two decimal amounts. ,
Select the correct verb conjugation: He ____ me to become a teacher. ,5,Math,inspired ,wil have inspired ,,,Verb tenses must be consistent in sentences. This verb should be past tense.,
Select the correct verb conjugation: By the time you read this letter we _______ the building. ,5,Literacy,will have left,have left,left,,Verb tenses must be consistent in sentences. ,
Select the correct verb conjugation: The boss _____ to the store to buy the workers some coffee.,5,Literacy,had gone,will have gone,,,Verb tenses must be consistent in sentences. This verb should be past tense.,
Select the correct verb conjugation: Our house ____ by the time we move into our new house.,5,Literacy,sold ,has sold,will have sold ,,Verb tenses must be consistent in sentences. This verb should be past tense.,
Select the correct verb conjugation: The salesman ___ all the shrimp that was on the tray.,5,Literacy,has eaten,is eating,will have been eating,,Verb tenses must be consistent in sentences. This verb should be past tense.,
Select the correct verb conjugation: We ____ the amount of pizza we ordered this year for the party.,5,Literacy,doubled ,had doubled,,,Verb tenses must be consistent in sentences. This verb should be past tense.,
Select the correct verb conjugation: By the end of the season I _____ thirty points for my team.,5,Literacy,Will have scored ,am scoring,have scored ,,Verb tenses must be consistent in sentences. This verb should be past tense.,
Select the correct verb conjugation: I can't believe he ______ the movie without me.,5,Literacy,had already watched ,is watching,will have been watching ,,Verb tenses must be consistent in sentences. This verb should be past tense.,
Select the correct verb conjugation: The principal _____ to treat all of the teachers to lunch. ,5,Literacy,decided ,is deciding ,will have decided ,,Verb tenses must be consistent in sentences. This verb should be past tense.,
Select the correct verb conjugation: The company _____ three employees in the last month. ,5,Literacy,has lost ,has been losing,will have lost,,Verb tenses must be consistent in sentences. This verb should be past tense.,
The heart is an example of a(n),5,Science,Organ,Organ system,Tissue,Cell, The heart comprised of many cells that make up heart tissue! What do tissues form?,
What is the correct order of cell organization?,5,Science,Cell tissue organ organ system and organism,Cell organ tissue organ system and organism,Tissue cell organ system organism and organ,Organism cell tissue organ and organ system, The correct order of cell organization goes from smallest to largest!,
Which two body systems work together when you touch a hot pan and pull your hand away?,5,Science,Musculoskeletal and nervous system,Nervous and circulatory system,Digestive and respiratory system,Respiratory and musculoskeletal system, One system is responsible for sensing the heat and sending signals to the brain while the other system is responsible for moving your hand away from the heat source!,
How many chambers does the heart contain?,5,Science,4,2,6,3, The heart contains the right atrium the right ventricle the left atrium and the left ventricle!,
Which blood vessels carry blood toward the heart?,5,Science,Veins,Arteries,Capillaries,Alveoli, You usually colour them blue on diagrams of the heart!,
Which of the following systems is responsible for the supporting the body’s movements and the exertion of force on objects in the environment?,5,Science,Musculoskeletal,Digestive,Nervous,Circulatory, You use your bones and muscles to exert force!,
Choose the correct order of food moving through the digestive system.,5,Science,Mouth esophagus stomach small intestine large intestine,Mouth small intestine large intestine esophagus stomach,Mouth esophagus stomach large intestine small intestine,Mouth stomach esophagus small intestine large intestine, The process begins in the mouth and ends in the large intestine!,
Which system brings oxygen into the lungs?,5,Science,Respiratory system,Circulatory system,Nervous system,Excretory system," ""Respire"" means to inhale and exhale!",
Which system includes arteries and veins?,5,Science,Circulatory system,Respiratory system,Reproductive system,Excretory system, This system circulates blood throughout the body!,
Anything that occupies mass and has volume is called _____________.,5,Science,Matter,Mass,Solid,Atoms, This term describes the fundamental building blocks of the physical universe.,
A solid is a state of matter that has a definite volume but not a definite shape.,5,Science,False ,True ,,, The particles in a solid are closely packed together and vibrate in place they do not move around freely.,
Molecules in a gas are _________.,5,Science,Far apart,Close together,Tight and pull on each other a lot,None of the above, Molecules in a gas move around very freely.,
Deposition is when a gas changes to a solid state without going through the liquid state.,5,Science,True ,False ,,, Deposition is a process in which a gas changes into a solid without going through the liquid state!,
Which is an example of a physical change?,5,Science,Evaporating water,A candle burning,Baking a cake,Boiling an egg, A physical change is a change that does not result in the formation of a new substance! Instead it involves a change in the physical state or properties of a substance!,
A ________ is a change that does not result in a new substance.,5,Science,Physical change,Chemical change,Neutral change,Positive change, It involves a change in the physical state or properties of a substance without the formation of a new substance.,
Rusting is an example of ________ change.,5,Science,Chemical,Physical,Static,Thermal, This is a type of change that involves the transformation of the original substance into a new substance!,
When a liquid is ______ it gains thermal energy and turns into a ______.,5,Science,Heated gas,Cooled solid,Heated solid,Cooled gas, When a substance gains thermal energy its molecules become more energetic and start moving more rapidly.,
When a liquid is ______ it loses thermal energy and turns into a ______.,5,Science,Cooled solid,Heated gas,Cooled gas,Heated solid, When a substance loses thermal energy its molecules become less energetic and start moving more slowly.,
How does temperature change relate to particle motion?,5,Science,Particle motion increases with a rise in temperature ,Particle motion decreases with a rise in temperature ,Particle motion increase with a drop in temperature,Particle motion and temperature are not related, Temperature and particle motion are directly proportional (when one increases so does the other)!,
Which best describes an internal force?,5,Science,A force caused by one part of a structure acting on another part of the structure,A force that acts on a structure from outside the structure,The side of the structure affected by the force,The exact location where the force meets the structure, Internal forces act on a structure from inside the structure!,
Compression is a(n) ____________ force that _____________.,5,Science,Internal squeezes/compresses,Internal twists,External twists,External squeezes/compresses, Compression is a force acting within the object that involves squeezing!,
Compression tension shear and torsion are all examples of internal forces.,5,Science,True ,False ,,, These are all examples of internal forces acting on a structure.,
What is an external force that is always applied to all objects and structures on Earth?,5,Science,Gravitational force,Wind force,Drag force,Friction force, Gravity is a force that never changes on Earth!,
Some bridges have a maximum load sign for vehicles because if the load is too great the bridge may fail. The weight of the bridge is the ___ load and the weight of the vehicle is the ___ load.,5,Science,Static dynamic,Dynamic static,Dynamic total,Static total, Static load is fixed and will not change over time. Dynamic load is a load that varies in magnitude and location over time. Total load is the dynamic and static loads combined.,
What kind of energy comes from the movement/motion of charged particles?,5,Science,Electrical energy,Thermal energy,Mechanical energy,Chemical energy, This type of energy can be harnessed and used for a wide range of purposes including powering devices and appliances lighting buildings and operating machinery.,
The law of ____ of energy states that energy can neither be created nor destroyed only transformed or transferred. ,5,Science,Conservation,Transformation,Absorption,Stability," To ""conserve"" is to protect from harm or destruction!",
A wagon sitting at the top of a hill is an example of _____ energy which is stored energy.,5,Science,Potential,Kinetic,Magnetic,Solar, Stored energy is also called potential energy.,
When energy is transformed from one form to another some energy may be lost in the form of heat light or sound.,5,Science,True ,False ,,, Some energy may be lost when energy is transformed from one form to another!,
Sunlight water wind and coal are examples of renewable energy sources.,5,Science,False ,True ,,, Renewable energy sources can be harnessed and used without depleting the resource.,
Burning fossil fuels contributes to global warming through an increase in greenhouse gas emissions.,5,Science,True ,False ,,, Greenhouse gases trap heat in the Earth's atmosphere causing the planet's temperature to rise.,
What is the mixed fraction of 9/2?,6,Math,4 1/2,2 1/3,5,1 2/2,Break it down! How many times can 2 go into 9? 4 times! (That's our whole number) That's still 8 so how much more do I need to reach 9? 1! (That's our numerator). Note: Remember 9 is NOT divisble by 2,
7 + 2 x 3 - 5,6,Math,4,0,7,21,Remember BEDMAS! Multiplication comes before addition! (Unless it's there is brackets),
Which fraction is equivalent to 1/2?,6,Math,6/12,3/5,2/2,5/8,1 is half of 2. What else is half of something? 4/8 is half 3/6 is half. What is half of 12?,
1/4 + 3/4,6,Math,1 or 4/4,2/4,3/5,8/9,If the denominator is equal than you can add the numerators!,
(3 + 5) x 2 - 14,6,Math,2,16,17,-14,In this question you need to do brackets first! Then do the multiplication,
120 x 0.4,6,Math,48,480,1.2,120.4,Doing multiplication with decimals is basically the same without it. Try doing it as if there wasn't a decimal than add it later!,
Which number is divisible by 3?,6,Math,6,14,5,7,Did you know any even number is divisible by 2? 2 goes into 8 four times! 2 goes into 14 twelve times! In this question 3 goes into 6 two times!,
0 / 4 x (4 + 3) + 6 - 12,6,Math,-6,24,4,0,Remember! Zero divided OR multiplied by anything is still zero!,
23 x 123,6,Math,2829,2952,1599,7383,Remember BEDMAS! Multiplication comes before addition! (Unless it's there is brackets),
2.7 x 1.6,6,Math,4.32,7,3.5,6.22,You can multiply by each digit at a time. Then add them all up! 23 x 3 = 69 | 23 x 20 = 460 | 23 x 100 = 2300 | 69 + 460 + 2300 = 2829,
Solve a: a + 12 = 22 ,6,Math,10,14,12,2,You can reorder this question! 22 minus 12 also equals a.,
Solve a: 6 - a = 1,6,Math,5,-3,4,1,What do you subtract from 6 to equal 1? (The answer is 6 - 1),
Which fraction is NOT equal to the others?,6,Math,5/36,1/6,3/18,5/30,Try converting the fractions to decimals!,
-3 + 7,6,Math,4,-10,2,6,To help visualize use a number line! Start from -3 than count UP by 1 seven times! What number do you land at?,
What comes next in the sequence? 9 16 23 30 ?,6,Math,37,42,7,31,Can you find the pattern in this sequence? It's counting up by 7 each time!,
What comes next in the sequence? 20 10 5 2.5 ?,6,Math,1.25,3,5.6,1,This pattern is division. It's dividing by 2 each time!,
Which number is divisible by 7?,6,Math,28,31,25,47,Which number can be divided by 7 and give an integer (a number with no decimal or fraction?),
What is the probability of rolling a 2 on a 6-sided die?,6,Math,1/6,2/6,3/4,20,Remember! There are 6 different numbers on a die. How many possibilites are there when you roll one die?,
What is the probability of rolling a sum of 4 on two dice?,6,Math,2/36,25%,13/20,1/6,If you roll two dice that means there are 36 combinations (6 times 6 equals 36). What combinations equal,
How many right angles does a square have?,6,Math,4,More than 6,2,0,A right angle is 90 degrees. Does that ring a bell?,
How many pairs of parallel sides does a rhombus have?,6,Math,2,1,2.5,4,If two sides are parallel to each other that means they would never touch!,
I'm a trapezoid with: two pairs of parallel sides congruent opposite sides and NO right angles. What am I?,6,Math,Parallelogram,Square,Kite,Rectangle,The shape we are looking for does not have a right angle! That means it does not have an angle that's 90 degrees. A square for example has all 90 degree angles!,
If Point A was located at (-4 3) and Point B was located at (6 2) How many units does Point A need to travel to get to Point B?,6,Math,Six units right one unit down.,Three units right four unit down.,Six units left one unit up.,Seven units right seven units down.,To help you visualize you can use grid paper to draw the Cartesian Plane! Or count the coordinate in your head: For X that's counting from -4 UP to +6 (-3 -2 -1 0 +1 +2 +3 +4 + 5 +6). That's 10 spaces! For Y that's counting from +3 DOWN to +2 (+2). That's only 1 space!,
How many meters is one kilometer?,6,Math,1000m,100m,1000mm,2m,1 kilometer is equal to 1000 meters!,
The base of a triangle is 13m the height of the triangle is 10m.What is the area of the triangle?,6,Math,65m,300m,20m,45m,The formula for a triangle is the Base times the Height THEN divide by 2!(13 x 10) / 2 = 65,
What do the angles of a triangle ALWAYS add up to?,6,Math,180°,162°,60°,32°,The interior angles of a triangle always add up to 180 degrees!,
What is 6/3 x 2/5 but simplified?,6,Math,4/5,12/15,3/4,1/2,Multiplying fractions are easy! Just multiply the numerators and then multiply the denominators. (Is 15 divisible by any number?),
4 x 2/5,6,Math,8/5,2/5,12/5,3 1/5,The trick is to convert the whole number into a fraction! 4 = 4/1,
4/5 divided by 7/4,6,Math,16/35,12/18,2 3/4,4/8,If you flip one of the fractions you can change the division into multiplication! (4/5 x 4/7),
3 1/2 divided by 5,6,Math,7/10,2/5,3/7,1/6,To make it easier try making mixed numbers into improper fractions. (3 1/2 = 7/2),
What is 6 + 7?,6,Math,1,12,13,6,Use a Number Line,
Which of the following is a commonly observed electrostatic phenomena?,6,Science,Lightning,Magnetic fields,Electric currents,None of the above, Which one can you actually see with your eyes?,
Static electricity is non-flowing while current electricity moving of electrons.,6,Science,True ,False ,,, Static means particles are lacking movement and current means particles are moving!,
Metals are not good conductors of electrical current.,6,Science,False ,True ,,, When you plug a lamp in with a metal wire the lamp turns on which means it's conducting electrical current!,
Which of the following materials are good insulators?,6,Science,Glass and Rubber,Copper and Aluminium,Silver and Gold,Iron and Steel, Insulators mean they don't conduct electrical current well!,
A hydroelectric dam uses water's ______ energy to create ________ energy.,6,Science,Kinetic electrical,Potential kinetic,Kinetic chemical,Kinetic gravitational, Remember that water is moving and it's turned into electricity!,
Which of the following is example of electrical energy being transformed into light energy?,6,Science,Lightbulb illuminating a room,A fan rotating to circulate air,Toaster heating up bread,Radio playing, This device is commonly used in homes and buildings to provide light!,
What is the function of a resistor in an electrical circuit?,6,Science,To limit or regulate the flow of electric current,To store electrical charge,To connect or disconnect the circuit,To convert electrical energy into light energy," To ""resist"" means to limit!",
If one light bulb goes out in this type of circuit all the others will remain lit. What type of circuit is it?,6,Science,Parallel,Series,Line,All of the above, In a series circuit there is only one pathway currents can travel through but in a parallel circuit there are many!,
How does air resistance affect the flight of a plane?,6,Science,It increases drag and slows the plane down,It helps to produce lift,It makes the plane more aerodynamic,It has no effect on the flight of the plane, Resistance is friction and friction slows down objects! ,
Which of these statements best describes the relationship between the drag and thrust?,6,Science,Thrust force acts in the direction of motion and drag force acts in the opposite direction of motion,Drag force acts in the direction of motion and thrust force acts in the opposite direction of motion,,, Drag and Thrust are opposite forces!,
Lift is the opposite force to gravity/weight.,6,Science,True ,False ,,, If you lift something gravity is acting as well in the opposite direction!,
How do airplanes maintain steady flight at a constant altitude?,6,Science,By balancing the 4 forces of flight,By balancing lift and weight only,By balancing drag and thrust only,By creating turbulence in the air, Gravity Lift Drag and Thrust must all be considered!,
What can be done to an aircraft to reduce the drag force?,6,Science,By reducing the cross-sectional area of the aircraft,By increasing the cross-sectional area of the aircraft,By increasing the size of the aircraft’s wings,By increasing the speed of the aircraft, Drag can be minimized by altering the size of the aircraft so that less air comes into contact with it!,
Which of the following adaptations is not important for birds to be able to fly?,6,Science,Lungs with large surface area,Lightweight and strong feathers,Hollow bones for lighter flight,Strong chest muscles, Think about which one is not needed for easy flight!,
What is Earth's natural satellite?,6,Science,The moon,Halley's comet,Europa,Titon, Natural satellites are astronomical bodies that orbit planets.,
What would change if an object is taken to the moon?,6,Science,The weight would change,The mass would change,Both the mass and the weight would change,Neither the mass nor the weight would change, Weight is affected by gravity (the moon has less of this). Mass of objects never change!,
If a person weighs 600 N (Newtons) on Earth what is their weight on a planet with 1/10th the gravitational pull of Earth?,6,Science,60,120,6000,600, To figure this one out take their weight and multiply it by the planet's gravitational pull! Normally weight=(mass)(gravity's acceleration/pull),
Stars reflect light.,6,Science,False ,True ,,, Stars make their own light!,
Which of the following bodies in space emit light?,6,Science,None of the above,Planets,Moons,Comets, Think about whether these celestial bodies can make their own light or if they reflect light from other celestial bodies.,
What is a lunar eclipse?,6,Science,When the Moon moves into Earth's shadow causing the Moon to darken,When the Moon passes between the Earth and the Sun blocking the Sun's light,When the Moon appears red ,When the Moon appears larger than usual in the sky, Lunar eclipses happen when the moon moves into the shadow of Earth!,
Which planet in our solar system is known for its rings?,6,Science,Saturn,Neptune,Jupiter,Venus, This planet is sixth away from the Sun!,
Which planet is known for its red colour?,6,Science,Mars,Neptune,Jupiter,Uranus, Planets closer to the Sun than Earth tend to be more red in colour.,
What is a rover?,6,Science,A vehicle used for exploring the surface of planets and moons,A type of spacecraft that orbits planets,A type of rocket used to launch spacecraft ,A type of telescope used for observing planets, Think of the Rover sent by NASA to Mars!,
What is the highest level of classification in the Linnaean system?,6,Science,Kingdom,Family,Genus,Order, The Linnaean system consists of several levels of classification ranging from broad to specific. Which one sounds the broadest/biggest?,
What are three types of biodiversity?,6,Science,Species genetic and ecosystem,Mutation disorder and regression,Genes cells and traits,Water land and mountains, You can diversify species genes and ecosystems!,
How does biodiversity within a species help them adapt to changing environments?,6,Science,By providing them with different traits and abilities,By making them weaker and more vulnerable,By reducing their genetic diversity,By making them all the same, Biodiversity allows a species to develop different attributes and characteristics!,
Which kingdom is made up of only unicellular organisms?,6,Science,The Monera (Bacteria) Kingdom,The Animal Kingdom,The Plant Kingdom,The Fungi Kingdom, Plants and animals are multicellular and fungi are mostly multicellular too! ,
What can happen if a community loses biodiversity?,6,Science,The community will become vulnerable to disturbances,The community will become more sustainable,The community will become more resilient ,The community will become healthier, With biodiversity loss it becomes harder for the community to survive!,
Which is an example of an invasive species?,6,Science,A plant that is introduced to a new environment and begins to outcompete native plants,A fish that is endangered,A deer that is native to a particular forest ,A bird that is native to a particular island, Invasive species are ones that are introduced to ecosystems and they cause harm to native species by preying on them or outcompeting them.,
Which effect of drought is likely to lead to the extinction of a species of grazing animals?,6,Science,Decreased plant growth for the grazing animals to eat,Reduced prey populations for the grazing animals to hunt,Increased volcanic activity for the grazing animals,Increased predator populations that hunt the grazing animals,Drought is a shortage of water. Which of these is most affected by water shortage? Keep in mind that grazing animals eat grass and plants for energy!,
The exchange rate from Canadian money to USD (United States Dollar) money is 1 : 0.72. How much US money would 38$ CAD give you (minus tax)?,7,Math,27.36$,30$,10$,42$,Use Multiplication! If 1 CAD is 0.72 USD... Then 2 CAD is: 2 x 0.72 = 1.44$ USD!,
The exchange rate from Euro to USD money is 1 : 1.07. How much USD money would 120$ EUR give you (minus tax)?,7,Math,128.40$,200$,135.50$,107$,Use Multiplication! If 1 Euro is 1.07$ USD...Then 2 Euros is 2 x 1.07 = 2.14$ USD!,
Solve the square root: √49 = ?,7,Math,7,5.477,12,8.3333, The square root of a number is defined as the value which gives the number when it is multiplied by itself. 49 is a perfect square! That means there will be no decimals whenif you solve the square root of the question.,
Solve the square root. What is √230 rounded to the nearest tenth?,7,Math,15.2,18.7,23,140,The square root of a number is defined as the value which gives the number when it is multiplied by itself. If the number in the hundreths place is five or higher you can round up by one digit in the tenths place! (The full answer is 15.1657509),
What is 6 1/7 plus 2 2/7 as a mixed fraction?,7,Math,3 6/7,8 2/7,27/7,4,You can convert it first to an improper fraction then convert it back to mixed! An improper fraction is a fraction where the numerator is greater than or equal to the denominator.,b
Add the fractions: -4/5 + 1/5 = ?,7,Math,-3/5,2/5,1,4/5,Just focus on the numerator The denominator is already the same!,
Add the fractions:2 -6/4 - 3 2/4,7,Math,-28/4,0,28/4,7/4,Remember that a mixed fraction with a negative is STILL a negative in improper form.,
Solve for x. 3x = 18 ,7,Math,6,18,22,10,Use division to solve this question in reverse. Divide 18 by 3 to determine the value of x. ,
4x + 25 = 120. What is x?,7,Math,23.75,43.24,19,30,To solve this question work backwards. Subtract 25 from 120. Now divide this balance by 4 to determine the value of x. ,
What is 25% in a fraction?,7,Math,1/4,2/5,3/6,4/2,You can turn a percent into a fraction by making the denominator 100.,
What is 4/7 as a percentage?,7,Math,57.14%,24.59%,28,66.90%,Divide the numerator (top number) by the denominator (bottom number) to create a percentage.,
What is  66/4? ,7,Math,16.5,17.2,12,27,Divide the numerator (top number) by the denominator (bottom number). ,
What is 369 x 28 ?,7,Math,10 332,21 210,15 004,?,Multiply 369 by8 first then multiply 369 by 2. Then add them up!,
Luigi has 20 pieces of candy Mario has 6 pieces of candy LESS than Luigi. Yoshi has 5 pieces of candy more than Mario. How many pieces does Yoshi have?,7,Math,19,26,3,13,"Work your way through the word problem by assessing where the word ""than"" is used. This means ""more than"". Start with Luigi and subtract the number of pieces Mario had (20-6). Now you have an answer to the first part of the question. In order to get the second part of the question you must add the 5 pieces of candy that Yoshi has. ",
What is a rectangular prism?,7,Math,A prism with 6 rectangular faces and the distance between two faces are identical,A prism with 8 sides and 3 verticies. It also has 12 edges.,A three-dimensional figure with one flat base. Volume is length times width times height divided by 3.,A two-dimensional shape with 4 corners.It's another word for a rectangle,Try drawing a rectangular based prism to visualize this. You will be creating a 3D shape with 6 sides.,
If a cylinder has a height of 12 inches and a radius of 8 inches what is the volume of the cylinder?,7,Math,2412.74in^3,1128.24in^3,4230in^3,320in^3,Radius of a circle is the distance from the center of the circle to any point on it's circumference. When doing the formula for the volume of a cylinder the radius is squared.,
A rectangular-based pyramid has a base length of 5cm a height of 20cm and a base width that is 15cm more than the base length. What is the volume of the pyramid?,7,Math,666.67cm,666.67in,425.52cm,300m,First multiply the length by the width by the height. Then the product is divided by 3!,
The diameter of a circle is 19cm. What is the circumference?,7,Math,59.66cm,225cm,31cm,252.7cm,Radius of a circle is the distance from the center of the circle to any point on it's circumference. Diameter is double the radius. ,
What is 24/60 simplified?,7,Math,2/5,12/30,20/60,0.4,Decrease the fraction and find the common denominator.,
Parker has 3/6 yards of webbing. He attaches another 1/2 yards of webbing. How much webbing does he have now?,7,Math,1 yard,2/5 yards,1/6 yards,0 yards,Multiple the smallest of the fractions so that the denominators match. Once you've done this you can ,
2/8 + x = 7/8. What is x?,7,Math,5/8,2/8,3/6,4,It's best to simply this equation first. Try removing the first fraction!,
What is 225% as a simplified fraction?,7,Math,9/4,100/225,4/7,225/100,Once again you turn a percent to a fraction by making the denominator 100!,
(-18) + (-6) - (8) = ?,7,Math,-32,20,-44,15,Two positives make positive two negatives make a positive. But a negative and positive make negative!,
-18/5 + 1 3/5,7,Math,-2,4,1/2,15,To make it easy make it an improper fraction first!,
"""Five to the power of four times negative fourteen minus 6"": What is the equation version of this thiis written expression?",7,Math,5^4 x -14 - 6,5 x 4 + 6,3^4 x 14 -6,2^1 - 14 x 6,"These terms are very important. You can find more of them in your textbook's ""Glossary"" section!",
Which is equal to 3 x 10^4?,7,Math,30000,30,300000,300,If the base number is 10 then the number of zeros' is the power! (And a base of 100 is double!),
1/2 x 1/2,7,Math,1/4,1/2,3/5,2/8,If 1/2 x 1 = 1/2. Than what's half of a half?,
If a plant grew 15 millimeters per hour and 15 minutes past. How much did the plant grew?,7,Math,3.75mm,225mm,45mm,130cm,Remember! How many minutes in an hour?,
Haru needs 10 pieces of wood to build ramps. She's already build 2/7 ramps. How much wood does she still need?,7,Math,50 wood,25 wood,31 wood,No more wood needed she already finished.,Most of this quesition is already done for you. She's already place 2 out of 7 ramps!,
What is the relationship between an environment and an ecosystem?,7,Science,An ecosystem is the interaction between the environment and the living organisms,An environment is the interaction between and ecosystem and living organisms,The ecosystem and environment compete for resources,The ecosystem and environment are not related whatsoever,An ecosystem is a community of living and nonliving things interacting with each other in a particular environment.,
Sunlight is necessary for plants to grow. The relationship between plants and sunlight is an interaction of which?,7,Science,Biotic and abiotic components,Producers and consumers,Consumers and decomposers,Ecological and biome components,Sunlight is a component that is not alive plants are alive!,"Use the words ""biotic and abiotic"" in the explanation"
Organisms in an ecosystem can be classified as producers consumers decomposers or scavengers. An organism that consumes both producers and consumers is called a(n),7,Science,Omnivore,Carnivore,Herbivore,Prey,Herbivores only eat producers while carnivores only eat other consumers!,
Food chains and food webs are models which visually show us relationships within an ecosystem. The primary difference between the food chain and the food web is?,7,Science,A food web is a complex system of food chains,A food web shows how energy is used,A food chain shows how energy is stored,A food chain is a combination of different food webs,A food web is made up of several food chains!,What is a food chain??
The two processes that return water to the earth are known as?,7,Science,Condensation and precipitation,Evaporation and condensation,Transpiration and condensation,Evaporation and transpiration,Evaporation and transpiration are the processes that return water to the atmosphere so which two return water to the Earth?,
